ticker,name,display,country,exchange,currency,type
NVDA,NVIDIA Corporation,🇺🇸 NVIDIA,US,NASDAQ,USD,Ação
AAPL,Apple Inc.,🇺🇸 Apple,US,NASDAQ,USD,Ação
MSFT,Microsoft Corp.,🇺🇸 Microsoft,US,NASDAQ,USD,Ação
AMZN,Amazon.com Inc.,🇺🇸 Amazon,US,NASDAQ,USD,Ação
GOOGL,Alphabet Inc.,🇺🇸 Google,US,NASDAQ,USD,Ação
META,Meta Platforms Inc.,🇺🇸 Meta,US,NASDAQ,USD,Ação
TSLA,Tesla Inc.,🇺🇸 Tesla,US,NASDAQ,USD,Ação
BRK-B,Berkshire Hathaway,🇺🇸 Berkshire,US,NYSE,USD,Ação
TSM,Taiwan Semiconductor,🇹🇼 TSMC,TW,NYSE,USD,Ação
AVGO,Broadcom Inc.,🇺🇸 Broadcom,US,NASDAQ,USD,Ação
V,Visa Inc.,🇺🇸 Visa,US,NYSE,USD,Ação
JPM,JPMorgan Chase,🇺🇸 JPMorgan,US,NYSE,USD,Ação
WMT,Walmart Inc.,🇺🇸 Walmart,US,NYSE,USD,Ação
MA,Mastercard Inc.,🇺🇸 Mastercard,US,NYSE,USD,Ação
PG,Procter & Gamble,🇺🇸 P&G,US,NYSE,USD,Ação
JNJ,Johnson & Johnson,🇺🇸 J&J,US,NYSE,USD,Ação
XOM,Exxon Mobil,🇺🇸 Exxon,US,NYSE,USD,Ação
HD,Home Depot,🇺🇸 Home Depot,US,NYSE,USD,Ação
CVX,Chevron Corp.,🇺🇸 Chevron,US,NYSE,USD,Ação
MRK,Merck & Co.,🇺🇸 Merck,US,NYSE,USD,Ação
KO,Coca-Cola Co.,🇺🇸 Coca-Cola,US,NYSE,USD,Ação
PEP,PepsiCo Inc.,🇺🇸 PepsiCo,US,NASDAQ,USD,Ação
ABBV,AbbVie Inc.,🇺🇸 AbbVie,US,NYSE,USD,Ação
BAC,Bank of America,🇺🇸 Bank of America,US,NYSE,USD,Ação
COST,Costco Wholesale,🇺🇸 Costco,US,NASDAQ,USD,Ação
MCD,McDonald's Corp.,🇺🇸 McDonald's,US,NYSE,USD,Ação
CRM,Salesforce Inc.,🇺🇸 Salesforce,US,NYSE,USD,Ação
CSCO,Cisco Systems,🇺🇸 Cisco,US,NASDAQ,USD,Ação
AMD,Advanced Micro Devices,🇺🇸 AMD,US,NASDAQ,USD,Ação
TMO,Thermo Fisher,🇺🇸 Thermo Fisher,US,NYSE,USD,Ação
WFC,Wells Fargo,🇺🇸 Wells Fargo,US,NYSE,USD,Ação
DIS,Walt Disney Co.,🇺🇸 Disney,US,NYSE,USD,Ação
PFE,Pfizer Inc.,🇺🇸 Pfizer,US,NYSE,USD,Ação
NKE,NIKE Inc.,🇺🇸 Nike,US,NYSE,USD,Ação
INTC,Intel Corp.,🇺🇸 Intel,US,NASDAQ,USD,Ação
BA,Boeing Co.,🇺🇸 Boeing,US,NYSE,USD,Ação
IBM,International Business Machines,🇺🇸 IBM,US,NYSE,USD,Ação
CAT,Caterpillar Inc.,🇺🇸 Caterpillar,US,NYSE,USD,Ação
UBER,Uber Technologies,🇺🇸 Uber,US,NYSE,USD,Ação
NFLX,Netflix Inc.,🇺🇸 Netflix,US,NASDAQ,USD,Ação
ORCL,Oracle Corp.,🇺🇸 Oracle,US,NYSE,USD,Ação
QCOM,Qualcomm Inc.,🇺🇸 Qualcomm,US,NASDAQ,USD,Ação
SBUX,Starbucks Corp.,🇺🇸 Starbucks,US,NASDAQ,USD,Ação
MMM,3M Company,🇺🇸 3M,US,NYSE,USD,Ação
F,Ford Motor Co.,🇺🇸 Ford,US,NYSE,USD,Ação
GM,General Motors,🇺🇸 GM,US,NYSE,USD,Ação
PETR4.SA,Petrobras PN,🇧🇷 Petrobras PN,BR,B3,BRL,Ação
PETR3.SA,Petrobras ON,🇧🇷 Petrobras ON,BR,B3,BRL,Ação
VALE3.SA,Vale S.A.,🇧🇷 Vale,BR,B3,BRL,Ação
ITUB4.SA,Itaú Unibanco,🇧🇷 Itaú,BR,B3,BRL,Ação
BBAS3.SA,Banco do Brasil,🇧🇷 Banco do Brasil,BR,B3,BRL,Ação
BBDC4.SA,Bradesco PN,🇧🇷 Bradesco PN,BR,B3,BRL,Ação
BBDC3.SA,Bradesco ON,🇧🇷 Bradesco ON,BR,B3,BRL,Ação
